Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	tree_length
0	-25.4574	-45.74536	20.28796	0.0650572	0.103108	0.000892304	0.0271985	0.00410045	0.016855	0.0862948	0.0731154	0.0450329	0.00734002	0.0760849	0.117197	0.137224	0.0340847	0.00887972	0.0553897	0.025405	0.0117695	0.0807169	0.0688268	0.019575	0.060386	1.3132	0.134233	0.375539	0.736716	1.35738	2.66284	7.44973	1.452051	0.01532791	0.0611354	0.0968925	0.000838514	0.0255589	0.00385327	0.015839	0.0810928	0.0687079	0.0423182	0.00689755	0.0714984	0.110132	0.128952	0.03203	0.00834444	0.0520508	0.0238736	0.01106	0.0758512	0.0646779	0.018395	1.064148
36	-24.71744	-45.23366	20.51622	0.133234	0.383532	0.0059601	0.0128158	0.055632	0.0305502	0.0210845	0.019668	0.186254	0.0480483	0.271596	0.065224	0.104326	0.0515952	0.0279145	0.027991	0.00159899	0.00679481	0.121473	0.0598994	0.0197442	0.0570886	1.3143	0.514263	0.72301	0.903765	1.10648	1.38311	1.94453	0.4808561	0.01447879	0.080507	0.23175	0.00360141	0.00774399	0.0336158	0.01846	0.0127404	0.0118845	0.112544	0.0290333	0.164113	0.0394118	0.0630393	0.0311765	0.0168674	0.0169137	0.000966194	0.00410579	0.0734007	0.0361944	0.0119305	1.654935
72	-23.70372	-44.68894	20.98522	0.0869371	0.147394	0.006358	0.0255058	0.0892766	0.122842	0.00925113	0.00812991	0.0209019	0.00153126	0.157895	0.141638	0.185563	0.166077	0.0522029	0.00171819	0.0120061	0.00430977	0.126137	0.0435948	0.024147	0.325671	1.22478	0.989914	0.995068	0.998459	1.00154	1.00496	1.01019	0.007329996	0.08863411	0.0606502	0.102827	0.00443556	0.0177937	0.0622824	0.0856986	0.0064539	0.0056717	0.0145819	0.00106826	0.110153	0.0988115	0.129455	0.115861	0.0364185	0.00119867	0.00837586	0.00300664	0.0879978	0.0304132	0.0168457	1.433417
108	-37.27358	-56.2932	19.01962	0.148709	0.188176	0.0652678	0.165582	0.0567127	0.0410796	0.0170788	0.0281956	0.0113112	0.0169884	0.526869	0.0148275	0.088572	0.221854	0.0693366	0.00592437	0.0715372	0.15614	0.0578382	0.038352	0.0629168	0.417309	1.19423	0.259443	0.517877	0.814412	1.22788	1.93096	3.85441	0.9755776	0.1164791	0.0724254	0.091647	0.0317872	0.0806432	0.0276207	0.0200069	0.00831784	0.013732	0.00550889	0.00827385	0.2566	0.00722141	0.0431371	0.108049	0.0337689	0.00288534	0.0348406	0.0760447	0.0281688	0.0186785	0.0306423	2.053269
144	-28.63394	-47.4654	18.83146	0.268672	0.0824558	0.00508243	0.0302382	0.1209	0.04065	0.0209091	0.0755988	0.133802	0.0886697	0.311205	0.0625941	0.191469	0.255666	0.110516	0.10162	0.0894837	0.0877609	0.0786329	0.186618	0.0253906	0.49187	1.16938	0.444085	0.673082	0.883813	1.13146	1.4857	2.25182	0.5869438	0.1402085	0.113463	0.0348219	0.00214636	0.0127699	0.0510571	0.0171669	0.00883009	0.0319261	0.0565058	0.037446	0.131425	0.0264341	0.080859	0.10797	0.0466719	0.042915	0.0377898	0.0370623	0.0332074	0.0788106	0.0107227	2.367933
180	-25.72754	-46.64845	20.92091	0.00244402	0.0530534	0.0186292	0.0118711	0.0181057	0.021974	0.00495183	0.0380808	0.0355801	0.00819454	0.0406421	0.0207142	0.00895949	0.069779	0.191677	0.0123897	0.0521017	0.0447588	0.026375	0.0128456	0.0205947	0.509738	1.16342	0.44487	0.673662	0.884051	1.13116	1.48442	2.24785	0.5856672	0.1460458	0.00342433	0.0743335	0.0261014	0.0166327	0.025368	0.030788	0.00693805	0.0533553	0.0498515	0.0114814	0.0569439	0.0290228	0.0125532	0.0977678	0.268559	0.0173593	0.0730001	0.0627118	0.0369542	0.0179981	0.0288553	0.7137214
216	-22.73317	-43.06885	20.33568	0.0748266	0.169587	0.0601413	0.00923634	0.015196	0.019712	0.0203797	0.0749209	0.0287975	0.0040724	0.0247888	0.0473554	0.0182144	0.158287	0.0579169	0.14789	0.205528	0.0482196	0.013391	0.00013079	0.00239173	0.40112	1.19963	0.309532	0.564437	0.836582	1.19534	1.77168	3.23069	0.8479395	0.1114569	0.0623044	0.141207	0.0500768	0.00769065	0.012653	0.0164132	0.0169691	0.0623829	0.0239783	0.00339089	0.0206404	0.0394306	0.0151662	0.131798	0.0482246	0.123141	0.171133	0.0401501	0.01115	0.000108903	0.00199148	1.200983
252	-26.9353	-47.39799	20.46269	0.0585121	0.0772116	0.00971188	0.0865491	0.0632722	0.0103708	0.0158836	0.0304726	0.0395008	0.00430501	0.00939381	0.0973015	0.00595899	0.0551947	0.110964	0.103352	0.0624479	0.293374	0.0145395	0.0252936	0.0225172	0.158745	1.28042	0.233592	0.492035	0.801509	1.24765	2.03238	4.28096	1.05147	0.04132637	0.048918	0.0645514	0.00811944	0.0723578	0.0528976	0.00867034	0.0132792	0.0254761	0.033024	0.00359913	0.00785353	0.0813471	0.0049819	0.0461445	0.0927692	0.0864059	0.0522084	0.24527	0.0121554	0.0211463	0.0188251	1.196126
288	-35.29032	-52.43447	17.14415	0.0144003	0.0331239	0.0118979	0.175243	0.0470487	0.00273296	0.0355503	0.0185818	0.0128928	0.0410713	0.0637504	0.0306084	0.125685	0.24592	0.0293675	0.0989424	0.174348	0.0880692	0.0098626	0.0226696	0.0559093	2.53327	0.488911	0.0955658	0.318193	0.699598	1.42939	3.14274	10.464	1.697722	1.72715	0.0107652	0.0247623	0.00889446	0.131006	0.035172	0.00204307	0.0265762	0.0138911	0.00963823	0.0307035	0.0476577	0.0228818	0.0939576	0.183841	0.0219541	0.073966	0.130336	0.0658376	0.00737295	0.016947	0.0417959	1.337674
324	-31.73733	-52.54794	20.81061	0.0718859	0.0764293	0.0190216	0.119118	0.0516755	0.00116152	0.0816155	0.0650491	0.0232176	0.0965006	0.00958187	0.0360503	0.0651108	0.103317	0.0753687	0.116453	0.0859164	0.151942	0.0132107	0.0028041	0.00088498	0.199544	1.26682	0.458199	0.683432	0.888031	1.12609	1.4632	2.18246	0.5643198	0.05250539	0.0567678	0.0603557	0.0150212	0.0940669	0.0408078	0.000917241	0.0644512	0.0513688	0.0183348	0.0762058	0.00756674	0.0284686	0.0514176	0.081589	0.0595181	0.0919622	0.0678475	0.119987	0.0104324	0.00221438	0.000698863	1.266315
